Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHoldingCost,AccumulativeBackloggingCost
87,2400,14.75,1492,464,490.9,10.35,8.8,7.49E+04,2.17E+04,2.41E+04,707.7,1924
88,2424,13.05,1498,469.6,493.1,7.35,11.4,7.64E+04,2.22E+04,2.46E+04,715.1,1936
89,2452,8.85,1523,474.6,503,3.85,10,7.80E+04,2.26E+04,2.51E+04,718.9,1946
90,2477,12.65,1533,479.2,504.6,6.25,12.8,7.95E+04,2.31E+04,2.56E+04,725.2,1958
91,2501,14.95,1543,484,507.2,8.4,13.1,8.10E+04,2.36E+04,2.61E+04,733.6,1971
92,2524,16.85,1561,489.1,512.6,10.3,13.1,8.26E+04,2.41E+04,2.66E+04,743.9,1984
93,2550,15.7,1579,493.1,519.3,9.75,11.9,8.42E+04,2.46E+04,2.71E+04,753.6,1996
94,2570,17.1,1572,497.1,517.2,13.4,7.4,8.57E+04,2.51E+04,2.77E+04,767,2004
95,2582,17.25,1558,501.5,5.13E+02,15,4.5,8.73E+04,2.56E+04,2.82E+04,782,2008
96,2075,15.6,16.7,506.6,0,14.5,2.2,8.73E+04,2.61E+04,2.82E+04,796.5,2010
97,1563,17.35,19.05,512,0,15.65,3.4,8.73E+04,2.66E+04,2.82E+04,812.2,2014
98,1047,16.8,16.95,516.7,0,16.65,0.3,8.74E+04,2.71E+04,2.82E+04,828.8,2014
99,524.2,13.45,14.55,522.4,0,12.35,2.2,8.74E+04,2.76E+04,2.82E+04,841.2,2016
100,-2.9,11.5,18.7,527.1,0,4.3,14.4,8.74E+04,2.82E+04,2.82E+04,845.5,2031
