DemandMY,CostMY,OrderingMY,NetInventoryMY,AccumulativeCostMY,DemandDB,CostDB,OrderingDB,NetInventoryDB,AccumulativeCostDB
0,3.592,7.15E-16,3.592,436.6,0,0.2363,7.45E-09,0.2363,102
0,3.592,7.15E-16,3.592,440.2,0,0.2363,7.45E-09,0.2363,102.2
0,3.592,7.15E-16,3.592,443.8,0,0.2363,7.45E-09,0.2363,102.4
0,3.592,7.15E-16,3.592,447.4,0,0.2363,7.45E-09,0.2363,102.7
0,3.592,7.15E-16,3.592,450.9,0,0.2363,7.45E-09,0.2363,102.9
0,3.592,7.15E-16,3.592,454.5,0,0.2363,7.45E-09,0.2363,103.2
0,3.592,7.15E-16,3.592,458.1,0,0.2363,7.45E-09,0.2363,103.4
0,3.592,7.15E-16,3.592,461.7,0,0.2363,1.49E-08,0.2363,103.6
0,3.592,7.15E-16,3.592,465.3,0,0.2363,1.49E-08,0.2363,103.9
0,3.592,7.15E-16,3.592,468.9,0,0.2363,1.49E-08,0.2363,104.1
0,3.592,7.15E-16,3.592,472.5,0,0.2363,2.98E-08,0.2363,104.3
0,3.592,7.15E-16,3.592,476.1,0,0.2363,2.98E-08,0.2363,104.6
0,3.592,7.15E-16,3.592,479.7,0,0.2363,5.96E-08,0.2363,104.8
