Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
91,255.1,12.07,163.1,50.21,48.9,7.693,8.758,1.71E+04,4555,4810,677.9,2003
92,254.3,11.17,165.8,50.97,50.21,7.127,8.081,1.73E+04,4606,4860,685,2011
93,256.5,10.33,165.9,48.79,50.97,7.655,5.354,1.74E+04,4654,4911,692.6,2016
94,255.5,9.81,157.9,49.82,48.79,8.07,3.478,1.76E+04,4704,4960,700.7,2019
95,206.1,8.816,9.61,49.36,5.25E-14,8.021,1.589,1.76E+04,4754,4960,708.7,2021
96,157.4,8.676,9.275,48.65,0,8.078,1.197,1.76E+04,4802,4960,716.8,2022
97,106.6,7.896,8.413,50.82,0,7.379,1.035,1.76E+04,4853,4960,724.2,2023
98,54.6,7.888,8.93,52.03,0,6.846,2.084,1.76E+04,4905,4960,731,2025
99,4.598,9.522,11.98,50,0,7.06,4.924,1.77E+04,4955,4960,738.1,2030
100,-44.44,44.44,88.88,49.04,0,0,88.88,1.77E+04,5004,4960,738.1,2119
