Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
50,1502,12.38,949.1,284.2,311,8.698,7.365,3.04E+04,7990,9492,293.8,1651
51,1525,9.549,948.1,289.4,312,6.913,5.271,3.14E+04,8279,9804,300.7,1656
52,1551,11.9,976,294.4,320.5,9.418,4.968,3.23E+04,8573,1.01E+04,310.1,1661
53,1576,12.08,988.7,299.1,324.1,7.778,8.613,3.33E+04,8872,1.05E+04,317.9,1670
54,1600,15.81,1005,304.3,327.7,10.01,11.61,3.43E+04,9177,1.08E+04,327.9,1681
55,1626,15.23,1027,309.3,335.6,10.58,9.297,3.54E+04,9486,1.11E+04,338.5,1690
56,1650,14.42,1037,314.5,339.1,8.934,10.97,3.64E+04,9801,1.15E+04,347.4,1701
57,1677,16.71,1059,319.2,345.4,10.77,11.89,3.75E+04,1.01E+04,1.18E+04,358.2,1713
58,1700,15.45,1063,324,347.5,10.17,10.56,3.85E+04,1.04E+04,1.21E+04,368.4,1724
59,1724,14.41,1080,329.4,353.3,8.813,11.2,3.96E+04,1.08E+04,1.25E+04,377.2,1735
60,1750,11.44,1099,335,361.4,7.602,7.679,4.07E+04,1.11E+04,1.29E+04,384.8,1743
61,1779,12.4,1124,339.9,369,7.643,9.516,4.18E+04,1.15E+04,1.32E+04,392.4,1752
62,1804,12.07,1124,344.9,369.3,7.728,8.69,4.30E+04,1.18E+04,1.36E+04,400.2,1761
63,1829,11.36,1141,349.9,374.9,6.185,10.35,4.41E+04,1.21E+04,1.40E+04,406.3,1771
64,1854,11.01,1155,354.7,379.4,5.303,11.41,4.53E+04,1.25E+04,1.44E+04,411.6,1783
65,1878,11.13,1167,359.4,383.7,6.342,9.567,4.64E+04,1.29E+04,1.47E+04,418,1792
66,1901,10.73,1176,364.7,387.7,8.285,4.885,4.76E+04,1.32E+04,1.51E+04,426.3,1797
67,1928,15.32,1210,369.4,396.6,10.56,9.511,4.88E+04,1.36E+04,1.55E+04,436.8,1807
68,1951,12.37,1207,374,397.3,9.566,5.602,5.00E+04,1.40E+04,1.59E+04,446.4,1812
69,1974,14.59,1224,379.4,401.7,10.68,7.822,5.12E+04,1.43E+04,1.63E+04,457.1,1820
70,2002,17.49,1258,383.6,411.7,12.15,10.67,5.25E+04,1.47E+04,1.67E+04,469.2,1831
71,2022,13.61,1245,388.4,409.1,9.851,7.521,5.37E+04,1.51E+04,1.71E+04,479.1,1838
72,2046,15.18,1270,393.8,417.3,12.05,6.274,5.50E+04,1.55E+04,1.76E+04,491.1,1845
73,2073,14.64,1295,398.2,425.7,11.32,6.644,5.63E+04,1.59E+04,1.80E+04,502.5,1851
74,2095,13.34,1292,403.6,425,9.698,7.282,5.76E+04,1.63E+04,1.84E+04,512.1,1858
75,2122,11.6,1321,408.8,436.1,10.24,2.728,5.89E+04,1.67E+04,1.88E+04,522.4,1861
76,2148,11.35,1336,414.2,440.2,7.565,7.561,6.03E+04,1.71E+04,1.93E+04,529.9,1869
77,2175,10.16,1353,419.7,446.1,5.782,8.753,6.16E+04,1.76E+04,1.97E+04,535.7,1878
78,2203,9.678,1372,424.7,453,6.046,7.264,6.30E+04,1.80E+04,2.02E+04,541.8,1885
79,2227,10.25,1380,430,454.6,3.865,12.78,6.44E+04,1.84E+04,2.06E+04,545.6,1898
80,2254,12.49,1404,434.6,461.6,5.721,13.54,6.58E+04,1.88E+04,2.11E+04,551.4,1911
81,2277,13.17,1407,439.9,462.3,6.199,13.93,6.72E+04,1.93E+04,2.16E+04,557.6,1925
82,2304,12.73,1433,444.2,471.6,6.932,11.59,6.86E+04,1.97E+04,2.20E+04,564.5,1937
83,2326,13.46,1429,448.8,470.4,9.372,8.181,7.00E+04,2.02E+04,2.25E+04,573.9,1945
84,2348,10.54,1442,454.5,476.4,7.944,5.199,7.15E+04,2.06E+04,2.30E+04,581.8,1950
85,2376,13.54,1482,459.9,488.6,10.3,6.488,7.30E+04,2.11E+04,2.35E+04,592.1,1957
86,2403,14.8,1496,465.5,492,9.354,10.9,7.45E+04,2.16E+04,2.40E+04,601.5,1967
87,2432,15.55,1518,470.4,499.1,10.31,10.49,7.60E+04,2.20E+04,2.45E+04,611.8,1978
88,2456,12.84,1520,475.4,500.2,6.427,12.83,7.75E+04,2.25E+04,2.50E+04,618.2,1991
89,2481,9.964,1533,480.5,505.3,2.981,13.97,7.90E+04,2.30E+04,2.55E+04,621.2,2005
90,2506,12.13,1551,485.6,510.7,5.569,13.13,8.06E+04,2.35E+04,2.60E+04,626.7,2018
91,2532,12.43,1567,490.5,516.1,6.476,11.92,8.21E+04,2.40E+04,2.65E+04,633.2,2030
92,2557,13.39,1578,495.5,520.1,8.762,9.263,8.37E+04,2.45E+04,2.70E+04,642,2039
93,2582,13.99,1596,500.1,525.8,9.099,9.776,8.53E+04,2.50E+04,2.75E+04,651.1,2049
94,2604,10.6,1597,505.4,527.7,7.362,6.483,8.69E+04,2.55E+04,2.81E+04,658.4,2055
95,2623,8.031,1597,510.8,528.9,6.025,4.013,8.85E+04,2.60E+04,2.86E+04,664.5,2059
96,2107,11.43,14.91,515.7,0,7.948,6.961,8.85E+04,2.65E+04,2.86E+04,672.4,2066
97,1586,12.75,17.35,521,0,8.15,9.199,8.85E+04,2.70E+04,2.86E+04,680.6,2075
98,1061,11.7,15.36,524.9,0,8.037,7.326,8.86E+04,2.75E+04,2.86E+04,688.6,2083
99,530.7,12.61,18.02,530.3,0,7.201,10.82,8.86E+04,2.81E+04,2.86E+04,695.8,2094
100,-4.557,12.29,20.71,535.2,0,3.864,16.84,8.86E+04,2.86E+04,2.86E+04,699.7,2110
