Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
35,656.3,6.051,418.1,123.4,136.4,3.163,5.777,1.19E+04,2797,3453,239.5,1307
36,670.2,7.731,430.4,125.8,139.7,4.111,7.24,1.23E+04,2923,3593,243.7,1314
37,682.7,6.197,432.1,128.6,141.1,3.533,5.327,1.28E+04,3051,3734,247.2,1320
38,696.6,7.063,443.5,130.4,144.4,3.798,6.53,1.32E+04,3182,3878,251,1326
39,707.3,6.567,441.2,133.4,144.1,4.123,4.888,1.37E+04,3315,4023,255.1,1331
40,719.6,6.292,454.6,136.4,148.7,4.005,4.574,1.41E+04,3452,4171,259.1,1336
41,734.1,5.41,465.3,138.4,152.9,4.203,2.415,1.46E+04,3590,4324,263.3,1338
42,746.7,5.793,467.9,141,153.6,4.436,2.715,1.50E+04,3731,4478,267.7,1341
43,758.6,5.876,474.3,143.9,155.8,4.743,2.267,1.55E+04,3875,4633,272.5,1343
44,772.1,6.737,488.2,146.1,159.6,4.175,5.123,1.60E+04,4021,4793,276.7,1348
45,784.2,8.963,495.9,149,161,5.129,7.668,1.65E+04,4170,4954,281.8,1356
46,797.4,8.085,505.8,151.8,165,5.248,5.674,1.70E+04,4322,5119,287,1362
47,810.8,9.336,517.7,154.7,168.1,5.304,8.064,1.75E+04,4476,5287,292.3,1370
48,826,8.998,529.5,156.8,172,4.598,8.798,1.81E+04,4633,5459,296.9,1378
49,837.9,6.779,526.5,160.1,172.1,3.248,7.06,1.86E+04,4793,5631,300.2,1386
50,852.4,6.804,542.2,162.5,177,2.511,8.586,1.91E+04,4956,5808,302.7,1394
51,866.4,5.884,544.8,164.5,178.4,2.298,7.171,1.97E+04,5120,5987,305,1401
52,877.6,8.21,548.3,167.4,178.6,3.825,8.77,2.02E+04,5288,6165,308.8,1410
53,890.9,7.234,556.4,168.9,182.3,4.885,4.699,2.08E+04,5457,6348,313.7,1415
54,899.9,6.739,553.6,172.5,181.5,4.418,4.64,2.13E+04,5629,6529,318.1,1419
55,913.4,7.02,575.7,175.5,189,5.318,3.403,2.19E+04,5805,6718,323.5,1423
56,929.1,8.251,589.6,177.4,193.2,6.428,3.645,2.25E+04,5982,6911,329.9,1426
57,942.4,7.757,589.1,179.7,193,5.594,4.324,2.31E+04,6162,7104,335.5,1431
58,953.4,8.098,591.2,182.6,193.5,5.599,4.999,2.37E+04,6344,7298,341.1,1436
59,966.1,7.355,604,184.9,197.6,3.538,7.634,2.43E+04,6529,7495,344.6,1443
60,978,8.377,611.6,187.9,199.8,4.618,7.518,2.49E+04,6717,7695,349.2,1451
61,992.2,8.797,623.6,189.9,204.2,6.444,4.706,2.55E+04,6907,7899,355.7,1456
62,1004,6.634,621.4,193.2,204.5,5.283,2.701,2.61E+04,7100,8104,361,1458
63,1018,5.077,636.9,195.8,210,3.354,3.445,2.68E+04,7296,8314,364.3,1462
64,1032,6.611,646,197.7,212.3,4.056,5.11,2.74E+04,7494,8526,368.4,1467
65,1044,4.855,643.4,200.3,212.2,2.919,3.872,2.81E+04,7694,8738,371.3,1471
66,1056,5.385,650.3,202.6,214.5,3.98,2.811,2.87E+04,7897,8953,375.3,1474
67,1066,5.416,656.8,206.2,216.4,3.148,4.536,2.94E+04,8103,9169,378.4,1478
68,1082,6.942,680.7,208.2,223.9,4.827,4.23,3.00E+04,8311,9393,383.2,1482
69,1095,6.334,678.9,211,223.8,5.146,2.375,3.07E+04,8522,9617,388.4,1485
70,1109,8.121,692.2,212.9,227.2,5.665,4.911,3.14E+04,8735,9844,394,1490
71,1120,6.863,688.6,215.6,226.5,4.485,4.755,3.21E+04,8951,1.01E+04,398.5,1494
72,1132,6.006,699.1,217.5,230.2,3.468,5.076,3.28E+04,9168,1.03E+04,402,1499
73,1143,7.764,701.3,220.2,230.7,6.18,3.169,3.35E+04,9389,1.05E+04,408.2,1503
74,1155,8.31,713.4,222.2,234.7,7.253,2.113,3.42E+04,9611,1.08E+04,415.4,1505
75,1166,9.983,717.2,224.9,235.5,9.221,1.524,3.49E+04,9836,1.10E+04,424.7,1506
76,1178,9.228,729.4,227.6,239.8,8.285,1.887,3.57E+04,1.01E+04,1.12E+04,432.9,1508
77,1191,10.69,740.9,229.8,242.9,9.204,2.975,3.64E+04,1.03E+04,1.15E+04,442.1,1511
78,1203,8.889,744.3,232.6,244.6,7.349,3.079,3.72E+04,1.05E+04,1.17E+04,449.5,1514
79,1216,6.919,751.4,235.2,247.9,6.126,1.585,3.79E+04,1.08E+04,1.20E+04,455.6,1516
80,1229,6.755,760.5,237.6,250.7,5,3.511,3.87E+04,1.10E+04,1.22E+04,460.6,1519
81,1241,6.051,766.3,240.5,252.8,4.3,3.503,3.94E+04,1.12E+04,1.25E+04,464.9,1523
82,1255,8.384,780.4,242.5,256.4,5.689,5.391,4.02E+04,1.15E+04,1.27E+04,470.6,1528
83,1266,8.121,781.4,245.8,256.7,4.947,6.349,4.10E+04,1.17E+04,1.30E+04,475.6,1535
84,1281,8.867,800.5,247.6,262.8,5.458,6.82,4.18E+04,1.20E+04,1.33E+04,481,1541
85,1293,8.957,797.6,249.9,261.9,5.883,6.149,4.26E+04,1.22E+04,1.35E+04,486.9,1547
86,1304,7.62,801.5,252.8,263.8,5.24,4.759,4.34E+04,1.25E+04,1.38E+04,492.1,1552
87,1317,7.293,811.7,255.2,267.6,5.673,3.24,4.42E+04,1.27E+04,1.41E+04,497.8,1555
88,1330,6.258,819.5,257.4,270.6,4.808,2.899,4.50E+04,1.30E+04,1.43E+04,502.6,1558
89,1342,9.04,825.6,260.1,271.7,7.549,2.983,4.59E+04,1.33E+04,1.46E+04,510.2,1561
90,1354,8.756,834.7,262.4,274.8,7.125,3.263,4.67E+04,1.35E+04,1.49E+04,517.3,1565
91,1366,6.262,838.3,265.1,277,5.274,1.976,4.75E+04,1.38E+04,1.51E+04,522.6,1567
92,1379,6.047,847.9,267.6,280.3,5.186,1.721,4.84E+04,1.41E+04,1.54E+04,527.7,1568
93,1392,6.863,855.9,269.9,282.7,5.95,1.825,4.92E+04,1.43E+04,1.57E+04,533.7,1570
94,1404,7.369,862.5,272.2,284.6,5.967,2.804,5.01E+04,1.46E+04,1.60E+04,539.7,1573
95,1129,7.286,8.622,274.7,3.22E-13,5.95,2.672,5.01E+04,1.49E+04,1.60E+04,545.6,1576
96,852.2,6.756,7.868,277.1,0,5.644,2.224,5.01E+04,1.51E+04,1.60E+04,551.3,1578
97,572.2,7.99,9.535,280,0,6.446,3.089,5.01E+04,1.54E+04,1.60E+04,557.7,1581
98,289.9,9.831,12.11,282.3,0,7.551,4.561,5.01E+04,1.57E+04,1.60E+04,565.3,1586
99,4.996,10.36,13.04,284.9,0,7.678,5.364,5.01E+04,1.60E+04,1.60E+04,572.9,1591
100,-282,282,563.9,287,0,0,563.9,5.07E+04,1.63E+04,1.60E+04,572.9,2155
